step,reward,loss,rev_kl,grad_norm,off_pol,tps
1,0.0586,-0.1339,0.5298,34.562,0.9331,397
2,0.5459,-0.2795,0.2134,16.359,0.083,309
3,0.6712,-0.2032,0.1761,12.68,0.0723,240
4,0.7186,-0.2459,0.1829,16.07,0.0406,323
5,0.6372,-0.2212,0.1736,10.891,0.0071,265
6,0.7549,-0.158,0.0809,7.48,0.0048,385
7,0.7077,-0.1988,0.1451,10.512,0.03,249
8,0.7705,-0.2258,0.1601,11.09,0.0194,329
9,0.6157,-0.2454,0.1395,8.504,0.0123,253
10,0.5667,-0.3249,0.15,11.09,0.0068,233
11,0.6734,-0.2181,0.0956,7.605,0.0029,235
12,0.7313,-0.1327,0.0624,6.434,0.0078,262
13,0.736,-0.1626,0.0637,6.785,0.0063,326
14,0.8073,-0.2893,0.115,7.668,0.0051,388
15,0.8941,-0.2592,0.1048,7.391,0.0071,225
16,0.5208,-0.3926,0.1364,9.652,0.0041,310
17,0.6037,-0.1827,0.0671,7.248,0.0103,261
18,0.5265,-0.4281,0.1123,8.461,0.0059,227
19,0.6447,-0.5669,0.0964,11.516,0.0375,204
20,0.5328,-0.672,0.1641,9.652,0.0151,282
21,0.4879,-1.0761,0.2258,13.016,0.0276,293
22,0.4832,-0.6105,0.1668,7.168,0.0192,298
23,0.492,-1.8242,0.2906,12.305,0.0052,292
24,0.4793,-1.0458,0.1736,8.945,0.0028,351
25,0.5001,-1.1818,0.2192,8.691,0.0031,344
26,0.508,-1.4437,0.2572,10.578,0.0033,509
27,0.51,-1.67,0.2692,11.812,0.0072,423
28,0.508,-1.942,0.2967,12.609,0.0066,516
29,0.51,-0.8943,0.1635,7.855,0.0043,500
30,0.4978,-1.5714,0.2604,9.84,0.0012,431
31,0.4939,-1.0795,0.2098,7.984,0.0025,253
32,0.4999,-1.4005,0.2228,9.242,0.0012,344
33,0.5058,-1.6441,0.2597,9.559,0.0011,271
34,0.5134,-1.1805,0.2011,7.617,0.0243,377
35,0.4898,-1.3742,0.2064,9.812,0.0024,248
36,0.504,-1.6563,0.2576,9.789,0.0016,321
37,0.4993,-1.3409,0.2413,8.918,0.0058,279
38,0.4679,-1.2942,0.2034,8.211,0.0014,267
39,0.5255,-1.1424,0.175,8.656,0.0077,556
40,0.4796,-1.1829,0.2048,9.262,0.0018,234
41,0.5014,-1.7202,0.2814,9.668,0.002,244
42,0.4916,-1.6883,0.2781,10.539,0.0017,281
43,0.5008,-0.9792,0.1641,9.07,0.0046,329
44,0.4918,-1.2102,0.2155,8.711,0.0049,318
45,0.4474,-1.4522,0.2216,6.656,0.0026,291
46,0.4258,-1.4629,0.2146,7.359,0.0019,409
47,0.49,-1.5129,0.2422,8.055,0.0054,269
48,0.49,-1.6826,0.2396,8.527,0.0015,242
49,0.4894,-1.0499,0.184,9.602,0.0019,244
50,0.4938,-1.5855,0.2577,10.172,0.0056,270
51,0.484,-2.0021,0.3156,10.594,0.0013,348
52,0.504,-1.9008,0.2912,10.422,0.0021,364
53,0.4998,-1.4889,0.2344,8.809,0.0026,230
54,0.511,-1.5605,0.2549,9.137,0.004,274
55,0.4698,-1.9391,0.3028,11.641,0.0013,236
56,0.4817,-1.3525,0.2012,8.773,0.001,200
57,0.5289,-1.5428,0.214,8.867,0.0015,255
58,0.5402,-1.1727,0.1986,7.746,0.0044,229
59,0.5074,-1.1038,0.1913,7.074,0.006,228
60,0.5059,-2.1492,0.3234,10.555,0.0073,344
61,0.511,-1.6929,0.2589,9.215,0.0082,282
62,0.5019,-2.1205,0.3119,11.18,0.0068,227
63,0.5017,-0.9151,0.1455,8.266,0.0041,311
64,0.5011,-1.4903,0.2444,8.395,0.0029,281
65,0.4796,-1.6672,0.2743,8.793,0.0006,321
66,0.4959,-1.6961,0.2852,9.324,0.0033,298
67,0.4677,-1.0993,0.1823,7.273,0.0026,218
68,0.417,-1.1955,0.1713,6.598,0.0014,432
69,0.4778,-1.3612,0.2007,7.285,0.0016,239
70,0.492,-2.1135,0.3184,11.219,0.0011,278
71,0.4852,-1.2276,0.1999,7.922,0.0009,275
72,0.4954,-1.0834,0.1721,7.41,0.0036,180
73,0.5059,-1.4875,0.2164,9.5,0.0111,249
74,0.4955,-2.2861,0.3441,11.164,0.0013,284
75,0.4895,-1.9879,0.2979,11.875,0.0008,281
76,0.4554,-1.0706,0.1559,7.57,0.0013,347
77,0.4959,-1.5035,0.24,8.371,0.0008,218
78,0.504,-1.95,0.288,9.352,0.0012,332
79,0.5195,-2.2795,0.3461,11.852,0.0008,307
80,0.4737,-0.6893,0.1098,6.375,0.0053,219
81,0.4859,-1.4324,0.2327,8.59,0.0227,199
82,0.51,-2.1535,0.3261,10.711,0.0015,553
83,0.4959,-1.9077,0.3182,9.688,0.0072,251
84,0.4959,-1.6613,0.2503,9.953,0.0014,200
85,0.5059,-1.1266,0.1534,8.055,0.004,328
86,0.4697,-1.1293,0.1978,8.125,0.0042,278
87,0.5384,-2.1753,0.3226,11.422,0.0039,285
88,0.4778,-1.7946,0.2815,8.59,0.001,331
89,0.5079,-1.826,0.2736,10.934,0.0216,315
90,0.4739,-1.4211,0.2201,10.023,0.0015,300
91,0.4798,-1.3875,0.2185,7.348,0.0012,178
92,0.4655,-1.06,0.1697,8.16,0.0014,308
93,0.49,-1.665,0.2481,9.055,0.0015,231
94,0.4679,-1.5565,0.2183,8.645,0.0024,332
95,0.51,-2.1207,0.3121,9.562,0.0035,563
96,0.498,-1.7141,0.2504,9.887,0.0024,408
97,0.5032,-0.9954,0.1525,7.816,0.0019,224
98,0.498,-1.5775,0.2386,7.922,0.0027,393
99,0.4959,-1.9253,0.2884,9.191,0.0019,322
100,0.4898,-1.9124,0.3031,10.43,0.0091,248
101,0.4859,-1.2545,0.1828,7.676,0.0027,198
102,0.542,-1.0502,0.1723,7.973,0.0045,196
103,0.4595,-1.291,0.2066,8.109,0.0041,342
104,0.5058,-2.0016,0.2921,11.25,0.0034,249
105,0.5134,-1.4043,0.2332,9.398,0.0143,262
106,0.5074,-1.7849,0.2701,8.781,0.0017,224
107,0.504,-1.4636,0.2118,8.719,0.0009,339
108,0.4837,-1.8592,0.2793,11.617,0.0209,287
109,0.4916,-1.5487,0.2331,8.844,0.0011,226
110,0.5235,-1.89,0.2928,11.914,0.0216,481
111,0.4934,-1.7136,0.2699,10.672,0.0035,235
112,0.4835,-1.2029,0.1709,7.664,0.0008,247
113,0.4619,-1.5964,0.2319,8.398,0.0107,240
114,0.4817,-1.8874,0.2637,9.875,0.0063,196
115,0.476,-0.9881,0.163,7.951,0.0039,271
116,0.4739,-1.3387,0.2268,7.746,0.0016,252
117,0.4856,-1.6125,0.243,9.539,0.0026,300
118,0.4798,-1.8998,0.3113,10.562,0.0009,306
119,0.4697,-1.5819,0.2428,9.195,0.0012,272
