step,reward,loss,rev_kl,grad_norm,off_pol,tps
1,0.0586,-0.9228,1.4872,94.125,3.0504,389
2,0.5391,-0.6103,0.5376,28.086,0.2502,419
3,0.3842,-0.4364,0.4277,11.914,0.0295,501
4,0.2563,-0.5031,0.3934,19.32,0.0728,428
5,0.376,-0.696,0.5704,15.234,0.0326,368
6,0.4813,-0.6603,0.5191,16.055,0.0397,426
7,0.5205,-1.166,0.7522,22.828,0.0746,303
8,0.6297,-1.415,0.757,37.219,0.0702,445
9,0.5495,-1.2844,0.61,31.234,0.0482,425
10,0.5227,-1.5759,0.6055,33.641,0.1427,402
11,0.5519,-1.3983,0.5407,42.781,0.1332,477
12,0.5055,-1.2598,0.5011,25.805,0.2471,485
13,0.767,-0.8764,0.2999,15.727,0.0219,450
14,0.6877,-1.5062,0.4643,28.789,0.0535,442
15,0.7111,-1.1405,0.3172,20.43,0.0355,403
16,0.5813,-1.1568,0.3635,17.328,0.0356,499
17,0.5234,-1.688,0.4803,21.703,0.0128,529
18,0.4915,-2.9934,0.6981,33.688,0.0754,214
19,0.4661,-2.229,0.5075,19.953,0.0422,262
20,0.493,-2.1338,0.4582,18.938,0.0312,303
21,0.4978,-2.8545,0.4971,23.094,0.0842,294
22,0.504,-2.9314,0.6355,23.5,0.0654,463
23,0.508,-4.1308,0.6718,23.406,0.0291,491
24,0.4915,-4.2836,0.7677,21.031,0.0141,305
25,0.5059,-4.7325,0.7778,21.312,0.0127,334
26,0.496,-5.1495,0.7993,24.359,0.0368,262
27,0.51,-4.9958,0.7786,24.141,0.0126,590
28,0.504,-5.8602,0.8925,27.641,0.0262,476
29,0.5235,-3.592,0.6296,20.266,0.0041,499
30,0.508,-4.0312,0.6125,20.688,0.006,513
31,0.5061,-4.9446,0.7675,22.719,0.0621,563
32,0.4999,-4.5189,0.6709,22.406,0.0263,264
33,0.5061,-4.2789,0.6533,23.625,0.0057,554
34,0.502,-4.3225,0.712,18.719,0.0048,438
35,0.51,-4.3825,0.6479,22.516,0.02,511
36,0.51,-5.118,0.778,23.953,0.0481,534
37,0.5037,-3.7655,0.6434,16.984,0.0152,454
38,0.51,-4.6025,0.749,19.969,0.0065,521
39,0.51,-5.8577,0.8591,23.281,0.0063,527
40,0.508,-4.8098,0.8008,20.438,0.004,481
41,0.51,-5.4367,0.7764,21.422,0.0062,489
42,0.508,-5.1594,0.7881,21.141,0.0116,533
43,0.51,-5.6136,0.89,22.531,0.0016,544
44,0.496,-4.7825,0.7398,19.172,0.0045,330
45,0.5216,-5.3077,0.7743,19.266,0.0028,512
46,0.5041,-5.3697,0.7719,19.812,0.0077,523
47,0.4923,-5.2769,0.8045,19.453,0.0113,605
48,0.502,-5.3154,0.7497,19.016,0.0067,439
49,0.5041,-4.4735,0.6868,20.281,0.0033,408
50,0.502,-4.4508,0.6722,23.328,0.0097,398
51,0.508,-4.3764,0.6185,16.305,0.0015,462
52,0.51,-3.9734,0.5789,15.266,0.002,436
53,0.504,-4.5819,0.7205,18.008,0.0169,488
54,0.504,-4.1295,0.6083,25.656,0.008,595
55,0.4942,-5.12,0.7871,22.406,0.0093,548
56,0.4998,-4.912,0.7339,20.781,0.0265,239
57,0.5041,-4.8176,0.7464,19.516,0.0031,580
58,0.508,-4.9552,0.7618,19.672,0.0064,424
59,0.504,-5.0514,0.746,18.328,0.0032,354
60,0.5255,-4.4443,0.6355,19.391,0.0145,453
61,0.51,-3.6757,0.5827,17.984,0.1085,493
62,0.508,-4.0937,0.586,21.5,0.0173,580
63,0.504,-3.966,0.5777,18.023,0.0044,488
64,0.5255,-3.1933,0.5054,17.055,0.003,496
65,0.5061,-3.9371,0.6292,21.055,0.011,495
66,0.504,-4.6786,0.7205,20.953,0.0127,432
67,0.4882,-3.931,0.5774,22.938,0.0193,330
68,0.492,-4.6604,0.6411,18.555,0.0249,474
69,0.508,-4.511,0.6567,18.656,0.0104,527
70,0.51,-5.0008,0.7081,18.422,0.0066,520
71,0.5095,-3.2784,0.4606,18.523,0.0075,303
72,0.5038,-3.5602,0.5328,20.18,0.0138,371
73,0.483,-2.689,0.3687,24.383,0.0666,272
74,0.4581,-2.5775,0.2768,30.094,0.1799,277
75,0.4816,-2.6026,0.2502,23.578,0.3865,346
