step,reward,loss,rev_kl,grad_norm,off_pol,tps
111,0.4918,-1.416,0.2012,8.031,0.0015,247
112,0.4619,-1.0753,0.1607,7.871,0.0022,275
113,0.5074,-1.7447,0.2668,9.762,0.0128,221
114,0.4939,-1.651,0.2487,9.344,0.0032,446
115,0.4939,-1.5677,0.2421,8.348,0.0126,375
116,0.4679,-1.308,0.2123,9.539,0.0006,299
117,0.4879,-1.1448,0.1765,8.07,0.003,198
118,0.4718,-1.4155,0.2206,7.344,0.0039,286
119,0.4637,-1.55,0.234,7.441,0.0022,322
120,0.4877,-1.9846,0.2974,10.367,0.0014,222
121,0.5014,-1.5476,0.2137,9.676,0.0107,235
122,0.4861,-1.3056,0.1991,8.887,0.001,330
123,0.5053,-1.8551,0.3004,9.602,0.0047,271
124,0.4937,-2.2515,0.3356,10.25,0.0008,190
125,0.496,-2.0147,0.2895,8.633,0.001,356
126,0.4937,-1.3339,0.2026,9.039,0.0012,339
127,0.4959,-1.6999,0.2552,9.383,0.0017,226
128,0.504,-2.1417,0.3232,10.273,0.0061,355
129,0.4736,-1.4111,0.2135,7.785,0.0015,285
130,0.4777,-1.5948,0.2376,8.855,0.0016,233
131,0.4895,-1.1848,0.1734,8.391,0.0028,287
132,0.5019,-1.8839,0.2936,9.418,0.0018,280
133,0.5206,-2.0312,0.3048,10.414,0.003,375
134,0.498,-1.6315,0.2427,8.441,0.0098,283
135,0.4788,-0.8278,0.1417,6.855,0.0025,252
136,0.4894,-1.6507,0.2544,8.66,0.0013,228
137,0.5019,-1.7349,0.2618,8.949,0.0017,266
138,0.4817,-1.8275,0.2801,9.672,0.0015,262
139,0.5011,-1.3474,0.2109,7.379,0.0034,255
140,0.4736,-1.2484,0.1874,8.137,0.0055,234
141,0.4679,-0.9408,0.136,6.512,0.0025,346
142,0.498,-1.5323,0.2338,8.781,0.0064,262
143,0.4796,-1.7999,0.2755,8.57,0.0008,275
144,0.51,-1.9606,0.2915,8.18,0.0007,561
145,0.505,-1.998,0.3092,9.844,0.0016,242
146,0.5123,-0.8947,0.1363,6.766,0.0042,219
147,0.4937,-1.6989,0.2539,9.531,0.0015,188
148,0.4718,-1.912,0.2763,9.406,0.0014,190
149,0.4856,-1.5849,0.2309,9.703,0.0027,315
150,0.4874,-1.635,0.2525,9.449,0.013,359
151,0.4559,-0.9759,0.1512,6.984,0.0024,248
152,0.4877,-1.9759,0.2936,8.789,0.0068,252
153,0.498,-1.9373,0.2977,11.0,0.0064,374
154,0.5019,-1.4856,0.2205,8.398,0.0104,387
155,0.4619,-1.1337,0.1797,7.758,0.0045,287
156,0.5019,-1.7244,0.2519,9.414,0.0017,384
157,0.4715,-1.803,0.2622,9.0,0.003,266
158,0.4793,-1.5546,0.2313,8.66,0.0017,374
159,0.504,-2.1932,0.3199,9.898,0.0039,356
160,0.5242,-1.2512,0.1877,8.301,0.0064,316
161,0.4712,-0.7871,0.1202,6.711,0.0039,267
162,0.4799,-2.0062,0.3009,9.93,0.002,356
163,0.4978,-2.2142,0.3291,9.586,0.002,261
164,0.504,-2.006,0.3098,10.047,0.0013,348
165,0.4852,-1.0984,0.1701,7.176,0.0079,325
166,0.5289,-1.0797,0.1728,7.219,0.0017,275
167,0.498,-2.3789,0.3487,10.211,0.0032,270
168,0.4334,-1.5202,0.2256,7.871,0.0011,414
169,0.4858,-1.4949,0.2289,7.965,0.0014,341
170,0.5154,-1.4542,0.2183,9.309,0.0014,277
171,0.5281,-0.8033,0.1158,6.703,0.0019,196
172,0.504,-2.1152,0.3214,11.074,0.0039,339
173,0.4796,-1.695,0.259,9.043,0.003,245
174,0.4718,-1.5682,0.2499,8.891,0.0138,241
175,0.5169,-2.0537,0.3,9.844,0.001,335
176,0.4937,-1.1489,0.1706,7.484,0.0017,265
177,0.51,-1.6224,0.2259,9.887,0.0296,503
178,0.51,-2.0123,0.3011,10.07,0.0009,334
179,0.4637,-1.5743,0.2368,8.504,0.0008,337
180,0.4895,-1.5692,0.2415,8.461,0.0012,241
181,0.4848,-1.4538,0.2213,8.355,0.0009,238
182,0.4497,-1.5658,0.2304,8.438,0.0007,225
183,0.4739,-1.8496,0.2677,9.883,0.0026,233
184,0.4856,-2.1075,0.2951,9.656,0.0016,274
185,0.51,-2.0825,0.2961,9.688,0.0014,540
186,0.4959,-1.0036,0.1421,7.188,0.0019,308
187,0.492,-2.3481,0.3448,11.781,0.0009,444
188,0.4778,-1.6298,0.2417,8.004,0.0005,393
189,0.4957,-1.6359,0.2444,8.867,0.0026,309
190,0.4959,-1.8209,0.2617,9.148,0.001,240
191,0.4516,-1.4994,0.2186,8.609,0.0028,340
192,0.5235,-1.8464,0.2803,10.844,0.001,534
193,0.4595,-0.7654,0.1359,6.863,0.0073,264
194,0.4923,-0.6913,0.1053,5.453,0.0056,244
195,0.51,-2.1656,0.3006,10.309,0.0051,611
196,0.5848,-1.6679,0.2443,10.387,0.0033,218
197,0.4698,-1.9802,0.2923,10.672,0.0066,253
198,0.4996,-1.289,0.1899,7.227,0.0014,296
199,0.5173,-2.1055,0.2997,10.484,0.0019,265
200,0.4935,-1.2388,0.2655,17.992,0.1322,274
201,0.498,-2.108,0.3097,11.469,0.002,371
