step,reward,loss,rev_kl,grad_norm,off_pol,tps
1,0.0218,-0.5259,0.9154,57.859,1.5773,459
2,0.4828,-0.5976,0.4374,27.031,0.4229,266
3,0.432,-0.3632,0.3481,12.035,0.0273,433
4,0.6319,-0.4159,0.3583,15.609,0.0721,320
5,0.7689,-0.5097,0.4061,19.891,0.1828,506
6,0.5924,-0.7162,0.5456,27.281,0.1324,271
7,0.7129,-0.5296,0.4034,16.242,0.0089,444
8,0.7666,-0.3624,0.3138,11.219,0.0048,395
9,0.8306,-0.3552,0.2955,11.137,0.0346,400
10,0.771,-0.2775,0.1934,8.793,0.0413,521
11,0.8337,-0.3367,0.2198,10.188,0.0229,437
12,0.7454,-0.3901,0.2766,11.789,0.0366,380
13,0.7896,-0.3788,0.2551,18.402,0.0136,400
14,0.7785,-0.5815,0.3658,15.172,0.0058,387
15,0.6354,-0.5368,0.315,12.148,0.011,396
16,0.8308,-0.6258,0.2713,12.73,0.0163,585
17,0.6877,-0.7255,0.2939,14.727,0.0257,362
18,0.5041,-1.0022,0.386,15.422,0.0451,547
19,0.5041,-1.6204,0.3832,16.523,0.0881,449
20,0.4959,-2.1354,0.4723,15.312,0.0276,299
21,0.4874,-2.5971,0.5657,16.727,0.0104,249
22,0.4709,-2.3916,0.4715,13.305,0.0034,269
23,0.508,-3.8976,0.6843,18.766,0.0033,569
24,0.5037,-4.523,0.7608,19.578,0.0089,424
25,0.5061,-3.7861,0.6897,18.078,0.0037,508
26,0.4921,-4.3065,0.783,20.422,0.0034,392
27,0.5022,-3.8009,0.6619,17.328,0.0048,467
28,0.5035,-3.6657,0.6891,18.125,0.0041,390
29,0.4763,-3.4597,0.6282,17.0,0.0063,344
30,0.4655,-3.4822,0.6568,16.922,0.004,283
31,0.4858,-3.1624,0.5693,15.93,0.0057,306
32,0.4998,-3.968,0.7061,18.125,0.0058,390
33,0.4897,-3.8605,0.7049,16.258,0.0102,378
34,0.504,-4.1114,0.6995,17.258,0.0049,387
