step,reward,loss,rev_kl,grad_norm,off_pol,tps
133,0.7659,0.0027,,6.06,0.2216,528
134,1.2035,-0.0041,,3.939,0.0639,563
135,1.1526,-0.0018,,5.588,0.0546,547
136,0.7884,0.0007,,0.761,0.2157,663
137,0.8612,0.0023,,9.553,0.2518,427
138,0.7284,-0.0007,,11.508,0.0508,393
139,0.3597,-0.0041,,16.184,0.1454,295
140,0.6109,0.0044,,14.699,0.1575,380
141,0.433,-0.0168,,9.004,0.189,313
142,0.394,0.0156,,16.836,1.5608,271
143,0.0236,0.0154,,14.367,0.3496,275
144,0.4247,-0.0487,,7.094,0.2808,263
145,1.1769,-0.0117,,5.807,0.1602,311
146,0.5489,-0.0305,,6.273,0.3059,354
147,1.0504,-0.0074,,4.986,0.0636,363
148,0.9943,0.0016,,6.948,1.1222,498
149,0.8833,0.0021,,17.773,0.4964,340
150,0.8504,-0.0043,,4.498,0.119,293
151,1.0987,-0.0121,,4.733,0.1873,404
152,0.9683,-0.0067,,3.367,0.129,408
153,0.8426,-0.0042,,6.41,0.0879,366
154,0.6613,-0.0118,,22.089,0.1056,441
155,0.6973,-0.01,,4.806,0.1482,314
156,1.0877,-0.0013,,3.664,0.1254,333
157,0.8211,-0.0094,,5.287,0.3327,343
158,0.6206,-0.0025,,9.57,0.116,371
159,0.7395,-0.02,,5.721,1.9374,364
160,0.5273,-0.0202,,4.282,0.1198,391
161,1.0394,-0.0024,,1.724,0.0435,460
162,0.8537,-0.0022,,2.662,0.0846,321
163,0.9526,-0.0002,,2.702,0.171,456
164,1.1262,-0.0064,,2.731,0.0611,366
165,0.7495,-0.0017,,1.658,0.0616,431
166,0.9895,0.0012,,1.043,0.0905,696
167,0.8168,0.0003,,4.603,0.0231,302
168,0.9895,0.0007,,1.076,0.1002,709
169,1.2216,-0.0,,1.565,0.0481,711
170,0.8907,-0.0001,,4.961,0.1439,410
171,0.7575,-0.0002,,1.683,0.0538,431
172,1.0463,-0.0025,,3.183,13.0712,340
173,0.9895,-0.0001,,1.163,0.0227,596
174,0.956,-0.0014,,2.282,0.1031,317
175,0.5188,-0.0016,,3.571,2.4923,315
176,0.8812,0.0,,0.0,0.0052,605
177,1.268,0.0027,,6.488,0.0963,682
178,0.8383,0.0009,,2.855,0.0684,319
179,1.0488,0.0009,,3.723,0.0572,408
180,1.0643,0.0038,,4.326,1.288,493
181,1.028,0.0007,,2.967,0.0281,436
182,1.0669,-0.0001,,1.854,0.1099,669
183,0.8039,0.0,,0.544,0.0619,680
184,1.4381,0.0,,2.714,0.1257,728
185,0.999,0.0004,,1.248,0.0093,673
186,1.1631,-0.0001,,3.764,0.1694,343
187,1.0798,0.0005,,2.396,1.4672,525
188,1.3023,0.0001,,2.167,0.165,321
189,0.8383,0.0011,,3.64,0.2414,484
190,0.8598,0.0005,,1.812,0.0124,392
191,0.8907,0.0017,,2.984,0.1583,306
192,0.5829,-0.0088,,4.346,0.0491,392
193,0.9809,-0.0001,,4.159,0.2041,295
194,1.0145,0.0018,,4.155,0.2059,450
195,0.8271,-0.0091,,3.543,0.6927,353
196,0.9608,-0.0018,,4.306,0.0932,497
197,1.2525,0.0,,0.0,0.0019,728
198,0.6484,-0.0164,,7.158,0.1409,366
199,0.9895,0.0002,,0.414,0.0226,689
200,0.712,-0.0024,,2.778,0.0813,613
201,0.5813,0.0017,,2.762,0.0559,446
202,1.0454,-0.0002,,1.707,0.0255,452
203,1.0978,-0.0002,,1.429,0.1514,703
204,0.6185,-0.0018,,4.835,0.0494,332
205,1.0428,0.0009,,3.141,0.1033,558
206,0.999,0.0003,,1.94,0.0586,457
207,0.8658,-0.0001,,1.652,0.055,723
208,0.6896,0.0009,,2.051,0.0611,452
209,1.1227,-0.0003,,1.192,0.0079,419
210,1.1597,0.0002,,2.221,0.0539,708
211,0.9216,-0.0002,,1.254,0.076,395
212,0.9096,-0.0011,,2.604,0.0649,272
213,1.237,-0.0001,,0.678,0.0399,727
214,1.0334,0.0006,,4.807,1.049,346
215,0.8611,0.0004,,2.021,0.0306,577
216,0.9371,0.0009,,1.919,0.0231,451
217,0.9466,-0.0007,,1.925,0.0603,324
218,1.3608,0.0011,,0.833,0.0667,738
219,0.95,0.0004,,2.644,0.0511,533
220,0.8271,-0.0044,,3.697,0.197,421
221,1.1287,0.0,,0.0,0.0015,710
222,0.7199,0.0071,,6.382,0.1118,388
223,0.5873,0.0008,,1.225,0.0578,671
224,1.237,0.0,,0.464,0.0926,706
225,0.9715,-0.0046,,3.802,0.082,300
226,1.0617,-0.006,,3.954,0.1878,362
227,0.9371,0.0007,,2.233,1.2204,440
228,0.8658,0.0,,0.196,0.0082,699
229,1.1073,0.0001,,2.231,0.0474,431
230,1.1287,0.0,,0.0,0.0008,716
231,1.0145,0.0002,,1.408,0.153,708
232,1.2834,0.0002,,0.419,0.0227,732
233,1.2216,0.0009,,5.378,0.0311,723
234,1.0609,0.0008,,1.963,0.2281,439
235,0.8692,0.0018,,5.535,0.4738,466
236,0.8632,0.0005,,2.121,0.0412,502
237,1.3144,-0.0,,1.869,0.0247,710
238,1.1382,0.0007,,0.943,0.0837,415
239,1.1133,-0.0,,0.272,0.0159,629
240,0.6157,-0.0003,,1.745,0.2493,366
241,0.8967,0.0003,,1.828,0.1133,658
242,1.1597,0.0005,,0.72,0.1289,734
243,1.3608,0.0001,,1.74,0.0506,715
244,1.5,0.0,,0.0,0.0006,737
245,1.0359,-0.0001,,1.029,0.037,689
246,0.7575,0.0001,,1.018,0.1223,717
247,1.1752,-0.0,,0.992,0.0208,731
248,1.0205,0.0009,,0.587,0.02,727
249,1.0823,0.0001,,0.936,0.0767,705
250,1.0205,-0.0001,,0.241,0.0171,648
251,1.005,0.0,,0.0,0.0003,598
252,0.9775,-0.0001,,1.472,0.0443,468
253,0.8881,0.0004,,5.516,0.0397,389
254,1.1322,-0.0002,,1.415,0.1743,479
255,1.1287,0.0,,0.0,0.0004,744
256,1.2525,0.0,,0.0,0.0009,715
257,1.1597,0.0006,,0.941,0.0508,693
258,1.3144,-0.0002,,1.101,0.0649,728
259,1.1752,0.0006,,2.063,0.1405,717
260,1.2465,0.0012,,1.278,0.0568,413
261,1.1597,0.0,,0.948,0.0301,722
262,0.9277,0.0006,,1.145,0.0754,710
263,1.3144,0.0004,,0.506,0.0314,741
264,1.005,0.0,,0.0,0.0003,716
265,0.8752,-0.0001,,1.485,0.01,453
266,0.8812,0.0,,0.0,0.0012,713
267,1.1133,0.0001,,2.067,0.011,734
268,1.2525,0.0008,,2.673,0.0304,723
269,0.9277,0.0003,,1.096,0.1067,707
270,0.9122,0.0004,,1.313,0.0216,700
271,0.6802,0.0001,,1.119,0.1411,682
272,0.7575,0.0,,0.0,0.0006,733
273,0.8967,0.0002,,0.636,0.0282,707
274,0.7575,0.0007,,2.47,0.1829,683
275,0.9895,-0.0002,,1.118,0.0427,718
276,1.1133,-0.0,,0.818,0.0247,690
277,1.1846,0.0005,,3.513,0.0438,437
278,1.0978,0.0004,,0.807,0.0829,717
279,1.268,0.0011,,1.373,0.0946,700
280,1.2216,-0.0001,,0.923,0.0062,729
281,0.9371,0.0005,,1.413,0.1206,425
282,0.9216,0.0009,,1.068,0.0264,686
283,0.9102,0.0019,,8.261,0.0474,721
284,1.1752,0.0004,,3.984,0.0737,702
285,1.0978,0.0009,,1.413,0.1098,704
286,0.999,0.0001,,2.139,0.0809,499
287,1.1287,0.0,,0.0,0.0006,707
288,1.0952,0.0001,,1.777,0.0392,544
289,1.0609,0.0004,,1.313,0.0392,443
290,0.8967,0.0,,0.597,0.0128,647
291,0.9741,-0.0,,0.211,0.0216,702
292,1.237,-0.0001,,0.387,0.003,737
293,1.005,0.0,,0.0,0.0008,700
294,1.1167,-0.0007,,2.486,0.0602,339
295,1.2989,-0.0002,,0.175,0.0448,708
296,0.8812,0.0,,0.0,0.0012,711
297,0.9002,-0.0001,,1.459,0.0474,477
298,0.7824,0.0006,,1.879,0.0317,465
299,1.0952,-0.0002,,2.834,0.0111,374
300,1.1382,0.0001,,0.953,0.0354,451
301,1.2001,0.0004,,1.531,0.0653,428
302,1.237,-0.0,,0.331,0.0218,724
303,0.8512,-0.0008,,2.438,0.072,332
304,1.1597,0.0002,,0.551,0.0379,732
305,1.2525,0.0,,0.0,0.0003,717
306,0.9156,-0.0001,,1.677,0.0234,504
307,0.8039,-0.0003,,1.607,0.1274,731
308,0.8812,0.0,,0.0,0.0036,709
309,0.987,-0.0004,,1.568,0.033,359
310,1.2929,0.0001,,0.912,0.0809,434
311,1.1287,0.0,,0.0,0.0006,739
312,0.8443,0.0002,,1.829,0.0034,432
313,0.999,-0.0003,,1.999,0.1237,446
314,0.9741,0.0006,,1.774,0.0829,704
315,0.8812,0.0,,0.0,0.0009,711
316,1.4845,0.0001,,0.598,0.0011,731
317,0.8812,0.0,,0.0,0.0012,704
318,0.8847,-0.0004,,1.221,0.0123,476
319,0.8907,0.0004,,1.505,0.0848,456
320,0.7455,-0.0003,,1.234,0.0277,319
321,1.0205,0.0003,,1.602,0.0707,697
322,1.005,0.0,,0.0,0.0039,720
323,1.0763,0.0006,,1.425,0.155,436
324,1.005,0.0,,0.0,0.0199,704
325,1.1287,0.0,,0.0,0.0005,722
326,0.9895,0.0003,,0.677,0.0256,714
327,1.1442,0.0,,0.261,0.0143,726
328,0.9277,0.0,,0.619,0.0113,713
329,1.1287,0.0,,0.0,0.0006,707
330,0.8847,-0.0001,,2.369,0.0755,343
331,0.8503,0.0002,,0.177,0.0079,706
332,1.1227,0.0001,,1.15,0.0199,423
333,1.1442,0.0001,,0.966,0.0128,734
334,1.0145,0.0001,,1.823,0.0454,466
335,1.3763,0.0,,0.0,0.0102,742
336,1.1442,0.0,,0.675,0.0106,714
337,1.3298,-0.0001,,0.482,0.0508,709
338,1.3608,0.0003,,0.713,0.0711,728
339,0.8812,0.0,,0.0,0.0005,720
340,1.1402,0.0006,,1.356,0.0206,435
341,1.005,0.0,,0.0,0.0003,710
342,1.3763,0.0,,0.0,0.0002,733
343,1.0823,0.0003,,2.058,0.0999,719
344,0.8812,0.0,,0.0,0.004,732
345,1.1287,0.0,,0.0,0.0013,709
346,1.2061,0.0005,,1.401,0.0171,733
347,0.8348,-0.0002,,0.883,0.0922,718
348,1.005,0.0,,0.0,0.0009,684
349,1.1133,-0.0002,,1.537,0.0162,692
350,1.0763,-0.0002,,0.676,0.0787,448
351,1.3453,0.0002,,0.298,0.01,714
352,1.219,0.0004,,2.308,0.029,519
353,1.2525,0.0,,0.0,0.0008,729
354,1.237,-0.0006,,1.255,0.0537,737
355,1.2834,0.0,,0.319,0.037,714
356,1.3608,-0.0,,1.127,0.0208,733
357,0.8813,-0.0004,,1.309,0.0721,711
358,0.8692,0.0001,,0.815,0.0219,505
359,0.999,0.0,,0.609,0.0029,450
360,0.6991,0.0001,,2.486,0.0131,350
361,1.005,0.0,,0.0,0.0012,705
362,0.9741,0.0002,,0.763,0.0193,708
363,1.1133,-0.0,,1.404,0.0733,721
364,1.2525,0.0,,0.0,0.0013,735
365,1.1047,-0.0011,,0.734,0.0322,583
366,1.3453,-0.0001,,0.076,0.0097,707
367,1.3917,0.0001,,0.537,0.0034,720
368,0.999,0.0001,,1.973,0.0938,413
369,1.2525,0.0012,,1.303,0.0479,733
370,0.9122,0.0005,,1.628,0.0953,710
371,0.8812,0.0,,0.0,0.0008,726
372,0.9425,0.001,,7.053,0.0605,519
373,0.9741,-0.0001,,0.335,0.0097,722
374,1.4227,-0.0003,,0.636,0.0416,728
375,1.237,-0.0,,0.639,0.0076,714
376,0.999,0.0001,,1.05,0.0685,432
377,0.8812,0.0,,0.0,0.0006,719
378,1.0205,0.0005,,0.663,0.1095,725
379,1.182,-0.0013,,1.778,0.0118,577
380,1.2001,-0.0002,,1.153,0.1619,420
381,1.225,0.0008,,1.731,0.038,488
382,1.1416,-0.0043,,1.918,0.0144,360
383,1.3763,0.0,,0.0,0.0006,735
384,1.0394,0.0003,,2.787,0.1122,475
385,1.2465,-0.0003,,0.783,0.0041,449
386,0.9002,0.0001,,1.217,0.0104,478
387,0.9741,-0.0001,,0.158,0.0195,735
388,1.1287,0.0,,0.0,0.0017,730
389,1.1442,-0.0002,,0.639,0.0193,737
390,1.3393,-0.0002,,1.369,0.0156,430
391,1.3763,0.0,,0.0,0.0003,743
392,0.999,0.0,,0.838,0.0047,466
393,1.1752,-0.0002,,0.876,0.228,734
394,1.0823,-0.0002,,0.509,0.0265,721
395,1.0205,0.0001,,2.113,0.0459,714
396,1.2525,0.0,,0.0,0.0015,731
397,0.8503,-0.0003,,0.995,0.0267,708
398,1.1287,0.0,,0.0,0.0003,730
399,1.1287,0.0,,0.0,0.0013,742
400,1.1597,-0.0003,,0.635,0.0623,722
401,1.0798,0.0002,,2.761,0.0088,367
402,1.005,0.0,,0.0,0.0005,723
403,0.999,0.0001,,0.726,0.0106,422
404,0.9715,-0.0019,,1.682,0.0763,405
405,1.0359,0.0014,,1.398,0.0495,677
406,1.3298,-0.0001,,2.094,0.0259,699
407,0.8512,-0.0022,,1.686,0.0371,623
408,1.0823,-0.0002,,0.915,0.0499,731
409,1.1227,-0.0,,1.584,0.0084,422
410,1.2405,-0.0007,,2.304,0.0931,498
411,1.1941,-0.0018,,1.881,0.0732,494
412,1.0359,0.0001,,0.516,0.0076,718
413,0.9464,0.0007,,3.029,0.0596,378
414,1.2525,0.0,,0.0,0.001,718
415,1.2465,-0.0,,0.702,0.0135,593
416,0.9835,-0.0002,,0.549,0.0013,450
417,1.0514,0.0002,,0.415,0.011,716
418,1.0548,-0.0004,,0.947,0.0189,505
419,1.1605,-0.0006,,1.928,0.0831,418
420,1.2465,0.0001,,0.811,0.0083,443
421,0.9895,-0.0001,,0.338,0.0032,730
422,1.3917,-0.0001,,0.331,0.002,715
423,1.2061,0.0001,,0.67,0.0403,736
424,0.8967,0.0004,,0.527,0.0212,721
425,1.3548,-0.0001,,0.808,0.0005,427
426,0.993,-0.0002,,1.434,0.0151,490
427,1.4012,0.0003,,1.657,0.0498,480
428,1.0978,-0.0002,,0.22,0.0357,729
429,1.2465,0.0001,,0.889,0.0198,451
430,1.3178,-0.0,,1.624,0.1275,497
431,1.0368,-0.0009,,1.769,0.0385,446
432,1.1287,0.0,,0.0,0.0013,712
