step,reward,loss,rev_kl,grad_norm,off_pol,tps
113,0.51,-3.7364,0.5638,17.523,0.0043,525
114,0.5255,-3.4035,0.4795,16.773,0.0022,572
115,0.51,-3.855,0.5591,20.016,0.0082,578
116,0.51,-3.8756,0.5955,18.0,0.0035,453
117,0.5058,-4.5026,0.6689,21.992,0.0295,455
118,0.5234,-4.1836,0.609,20.539,0.0316,447
119,0.5255,-3.993,0.5583,15.383,0.0097,451
120,0.504,-4.4854,0.6327,21.953,0.0201,425
121,0.5097,-3.1339,0.4765,21.867,0.0086,470
122,0.5098,-3.9286,0.589,16.602,0.0059,491
123,0.5061,-3.6718,0.573,17.422,0.0048,492
124,0.51,-3.4271,0.5339,17.117,0.0016,432
125,0.51,-3.5686,0.5303,15.555,0.0019,575
126,0.504,-3.4478,0.5092,16.18,0.0105,347
127,0.4858,-3.2783,0.4768,17.93,0.0061,359
128,0.4936,-3.6166,0.4971,18.648,0.0352,282
129,0.504,-3.9944,0.5255,40.562,0.3065,572
130,0.4852,-2.3847,0.3463,24.703,0.111,278
131,0.4963,-3.5325,0.454,51.469,0.2891,321
132,0.4943,-2.7079,0.5017,42.328,0.1815,424
133,0.5,-3.4465,0.4411,35.531,0.0473,426
134,0.498,-4.2483,0.5075,34.547,0.0619,475
135,0.4873,-3.2545,0.3567,26.359,0.0692,289
136,0.498,-3.6832,0.4712,23.953,0.0212,579
137,0.4923,-3.3342,0.4348,23.266,0.0867,368
138,0.4943,-4.7929,0.5751,25.75,0.0543,344
139,0.4559,-3.3787,0.3783,23.469,0.0267,238
140,0.5,-3.3895,0.4223,21.422,0.0285,573
141,0.4943,-4.1408,0.4844,24.156,0.0323,386
142,0.4809,-3.4421,0.4169,20.023,0.025,311
143,0.485,-5.9858,0.6809,30.234,0.0869,318
144,0.4749,-4.6182,0.5624,20.938,0.0197,197
145,0.4663,-4.5604,0.5142,23.906,0.0254,322
146,0.4649,-3.5405,0.3936,19.203,0.0156,316
147,0.4327,-4.9874,0.5766,26.953,0.104,315
148,0.317,-3.2941,0.3926,18.586,0.0658,437
149,0.4986,-7.1496,0.7687,23.469,0.1683,380
150,0.5034,-5.0803,0.6356,24.328,0.0182,534
151,0.4915,-5.2295,0.6521,22.219,0.1173,297
152,0.4798,-3.8166,0.3813,18.805,0.013,280
153,0.5244,-6.3644,0.6819,22.203,0.8754,322
154,0.4472,-3.2583,0.4509,21.391,0.1009,362
155,0.5165,-5.5124,0.6079,23.328,0.0501,531
156,0.5045,-4.9566,0.54,19.562,0.07,505
157,0.4969,-5.5771,0.6251,23.953,0.0557,444
158,0.498,-3.9732,0.4873,18.766,0.0206,330
159,0.4961,-5.1128,0.5912,25.25,0.0208,327
160,0.4471,-4.8661,0.4963,19.969,0.1138,374
161,0.4507,-5.6592,0.6231,21.703,0.0482,311
162,0.4988,-5.2171,0.6359,25.172,0.0148,347
163,0.4984,-5.0974,0.5688,20.859,0.0162,255
164,0.5181,-4.3348,0.5209,18.836,0.032,423
165,0.4654,-4.6808,0.5326,18.492,0.0939,256
166,0.4905,-3.8918,0.4629,17.984,0.0137,275
167,0.4991,-5.8605,0.6844,21.344,0.1138,309
168,0.4698,-5.4697,0.6259,18.125,0.0943,325
169,0.4844,-5.3872,0.6519,23.656,0.0145,262
170,0.45,-3.9839,0.4554,18.578,0.0452,235
171,0.5423,-4.6558,0.4858,20.125,0.0226,257
172,0.5189,-4.4986,0.4907,18.125,0.0745,556
173,0.4773,-4.7448,0.5277,20.25,0.0336,289
174,0.4584,-5.3894,0.6094,23.312,0.0041,240
175,0.4588,-3.9525,0.4683,18.117,0.0498,353
176,0.5046,-3.3056,0.3872,16.211,0.1233,418
177,0.5312,-4.696,0.5123,19.703,0.0058,307
178,0.4994,-4.8034,0.5142,27.211,0.0676,558
179,0.5027,-4.2919,0.4942,16.844,0.0102,362
180,0.5034,-4.1669,0.4735,16.664,0.0142,373
181,0.4827,-4.3634,0.4599,17.594,0.0337,246
182,0.4865,-8.1702,0.9059,35.734,0.0176,355
183,0.4831,-3.2194,0.337,14.672,0.0481,272
184,0.459,-2.8591,0.3119,15.742,0.0094,347
185,0.4756,-4.8072,0.5514,23.07,0.0134,258
186,0.4805,-3.1781,0.3481,15.234,0.0098,241
187,0.4968,-4.6232,0.4902,17.828,0.015,422
188,0.4788,-3.7853,0.426,15.68,0.0028,258
189,0.4623,-4.0787,0.4659,16.547,0.0097,248
190,0.438,-3.9525,0.4311,17.742,0.011,351
191,0.4691,-4.7032,0.541,18.031,0.0158,222
192,0.4695,-5.2285,0.5664,20.148,0.0043,209
193,0.485,-4.921,0.5334,17.984,0.0652,374
194,0.492,-3.4245,0.3838,17.219,0.0244,338
195,0.4894,-5.588,0.5921,19.75,0.0119,416
196,0.5432,-4.6516,0.5622,24.281,0.012,288
197,0.4836,-6.7802,0.7575,29.641,0.0504,244
198,0.5266,-5.3958,0.5629,20.805,0.0184,314
199,0.4805,-5.4901,0.5407,21.312,0.1088,343
200,0.5083,-4.2796,0.4834,21.289,0.0227,277
201,0.485,-5.4873,0.6348,25.484,0.0127,269
202,0.4985,-5.39,0.5845,19.734,0.0074,273
203,0.4995,-5.1009,0.5068,17.703,0.0322,250
204,0.4545,-3.8378,0.4405,21.695,0.0059,321
205,0.5003,-5.3354,0.579,20.969,0.0301,507
206,0.4498,-3.9309,0.4019,16.211,0.0068,279
207,0.4897,-4.8405,0.5085,21.641,0.0112,277
208,0.5009,-4.5662,0.481,18.43,0.011,239
209,0.484,-6.2723,0.6795,22.391,0.0081,263
210,0.5099,-3.798,0.3991,16.219,0.0076,465
211,0.5165,-4.2259,0.4547,17.148,0.0355,403
212,0.5047,-4.7515,0.4989,17.539,0.004,264
213,0.4918,-4.295,0.4945,19.297,0.0283,431
214,0.4998,-6.0249,0.641,20.438,0.0132,353
215,0.4966,-3.7651,0.4307,16.312,0.0367,347
216,0.4895,-6.6524,0.7233,24.5,0.0355,323
217,0.4818,-5.4735,0.59,20.469,0.0213,382
218,0.4904,-5.5552,0.6072,23.984,0.046,282
219,0.4734,-4.0878,0.4021,16.266,0.0311,257
220,0.4807,-5.2917,0.5864,22.281,0.0116,357
221,0.4601,-5.2511,0.5751,18.75,0.0324,371
222,0.4666,-5.425,0.576,19.219,0.0051,310
223,0.4969,-4.039,0.4276,16.742,0.0048,269
