step,reward,loss,rev_kl,grad_norm,off_pol,tps
112,0.504,-3.1804,0.4754,15.32,0.0008,392
113,0.5216,-3.4095,0.5038,13.156,0.0049,423
114,0.5097,-3.0492,0.4366,16.773,0.1075,461
115,0.502,-3.9597,0.5923,15.82,0.0084,445
116,0.4877,-2.7701,0.4285,12.672,0.0021,413
117,0.5001,-2.5258,0.373,11.273,0.0069,532
118,0.49,-3.7515,0.5729,16.312,0.002,391
119,0.4959,-4.258,0.6237,19.602,0.0056,374
120,0.5019,-4.6096,0.6782,16.977,0.0028,421
121,0.508,-2.9654,0.4376,16.867,0.0027,537
122,0.51,-2.8624,0.3834,14.867,0.0032,492
123,0.5328,-3.0515,0.4418,14.375,0.012,380
124,0.51,-4.0015,0.5681,17.711,0.0341,604
125,0.5038,-2.78,0.4205,15.875,0.0042,541
126,0.51,-2.5395,0.3624,14.094,0.0344,464
127,0.504,-2.3871,0.3446,13.125,0.0026,421
128,0.4718,-3.7005,0.58,19.156,0.0068,270
129,0.4551,-3.7843,0.5701,22.047,0.0126,230
130,0.5079,-2.898,0.4312,16.578,0.0067,520
131,0.4572,-1.9371,0.2641,16.148,0.0992,247
132,0.466,-2.1664,0.2096,20.945,0.4914,307
133,0.4867,-1.5832,0.3102,23.844,0.2782,278
134,0.4981,-4.2685,0.7177,89.375,0.6692,299
135,0.4809,-4.3822,0.9148,77.938,0.7763,326
136,0.4949,-3.6302,0.9229,126.0,1.1727,258
137,0.4977,-5.2838,0.9702,117.406,1.1839,376
138,0.4985,-4.5242,0.72,36.922,0.0729,337
139,0.5046,-3.2721,0.4992,28.047,0.1107,435
140,0.4702,-2.746,0.3799,23.422,0.2934,357
141,0.4566,-2.5427,0.3409,19.102,0.0659,311
142,0.4807,-3.5646,0.4113,21.312,0.1295,322
143,0.4971,-3.8969,0.4709,23.453,0.0299,362
144,0.5085,-4.1829,0.5131,20.586,0.0595,278
145,0.4439,-3.7236,0.4213,19.266,0.0441,271
146,0.4341,-3.0441,0.3645,15.312,0.0439,299
147,0.4548,-5.0652,0.5532,21.734,0.0468,316
148,0.5034,-3.965,0.4071,15.586,0.0808,272
149,0.4209,-4.0384,0.4789,17.016,1.3588,320
150,0.4304,-2.0655,0.3244,14.539,0.1611,312
151,0.4617,-5.4205,0.5291,20.281,0.8367,357
152,0.4773,-4.2331,0.479,19.367,0.0908,348
153,0.4838,-4.7017,0.546,23.734,0.0287,265
154,0.4908,-4.0495,0.4505,17.125,0.0171,314
155,0.4885,-4.7884,0.5606,16.688,0.0352,369
156,0.5103,-5.2927,0.6058,17.242,0.3241,312
157,0.4855,-3.52,0.38,15.617,0.6885,345
158,0.4588,-4.2742,0.5233,17.523,0.1716,278
159,0.434,-3.0018,0.3674,14.727,0.2541,288
160,0.4826,-2.778,0.2982,12.969,0.0099,295
161,0.4824,-4.8909,0.5232,16.094,0.0919,296
162,0.4605,-3.0853,0.3506,14.797,0.0093,321
163,0.4812,-4.2922,0.4799,15.219,0.0123,284
164,0.4816,-5.4047,0.595,17.664,0.0065,275
165,0.5109,-4.144,0.4411,18.133,0.0209,280
166,0.4816,-3.7724,0.4201,15.641,0.047,304
167,0.4702,-4.7699,0.5468,16.32,0.0124,307
168,0.4853,-5.9609,0.6458,18.438,0.0083,263
169,0.4905,-4.2908,0.4695,16.539,0.0258,289
170,0.4925,-4.7656,0.5545,19.047,0.0149,264
171,0.4894,-3.7885,0.4101,15.75,0.0068,345
172,0.5242,-4.9485,0.536,16.117,0.0085,246
173,0.5084,-4.4657,0.5149,19.734,0.0097,259
174,0.5247,-4.7418,0.5395,19.766,0.0127,328
175,0.4918,-4.5759,0.5197,16.297,0.0276,512
176,0.4754,-4.5752,0.496,18.422,0.0077,299
177,0.4752,-3.7298,0.3887,14.336,0.0155,324
178,0.4862,-3.6562,0.4196,14.648,0.0068,293
179,0.4934,-5.13,0.5762,18.898,0.0082,348
180,0.5009,-3.917,0.4333,16.875,0.0055,293
181,0.4955,-4.4868,0.4976,15.031,0.0157,442
182,0.4683,-4.555,0.5491,20.891,0.0293,261
183,0.478,-3.0479,0.3183,14.07,0.0231,366
184,0.4939,-5.541,0.5955,19.625,0.0087,268
185,0.5024,-4.0252,0.4399,13.922,0.0061,235
186,0.4999,-6.3001,0.7109,20.109,0.0185,328
187,0.5235,-4.5048,0.4928,15.625,0.0145,315
188,0.4669,-4.3269,0.4957,18.281,0.0107,296
189,0.488,-4.0005,0.4381,15.664,0.0096,263
190,0.4927,-4.8682,0.5215,18.57,0.0078,249
191,0.4727,-3.9352,0.4202,14.32,0.0083,342
192,0.4911,-4.4943,0.4701,17.234,0.0388,395
193,0.4754,-5.2263,0.5813,19.781,0.0177,238
194,0.4912,-4.4523,0.4949,15.594,0.0071,342
195,0.5005,-3.4117,0.391,14.008,0.0133,291
196,0.5066,-4.0761,0.4703,19.719,0.0302,279
197,0.4568,-4.4107,0.5002,16.898,0.0236,380
198,0.4981,-4.4071,0.4371,17.383,0.0419,272
199,0.5038,-3.8613,0.4153,14.18,0.0155,373
200,0.5017,-4.3228,0.4867,20.797,0.0113,399
201,0.4931,-3.5391,0.3898,16.203,0.0164,242
202,0.4991,-5.0904,0.5471,16.023,0.006,335
203,0.4394,-4.363,0.4995,17.508,0.0052,361
204,0.4538,-3.4723,0.3887,14.734,0.0138,327
205,0.4834,-4.3045,0.4315,14.508,0.0105,253
206,0.4921,-3.9027,0.3815,13.758,0.0137,273
207,0.4766,-5.2511,0.5716,19.234,0.0103,276
208,0.4976,-4.0483,0.4631,14.82,0.0058,356
209,0.5252,-4.3845,0.4761,15.531,0.0074,252
210,0.454,-5.0634,0.55,18.273,0.0064,278
211,0.4927,-5.3588,0.5591,16.875,0.0297,304
212,0.4905,-4.2316,0.4383,14.68,0.006,338
213,0.5195,-4.7404,0.5161,18.07,0.0066,323
214,0.4664,-3.3791,0.3669,14.102,0.012,301
215,0.4304,-3.6377,0.4101,14.711,0.0435,409
216,0.4991,-4.5125,0.4894,16.977,0.0045,338
217,0.4806,-4.9794,0.4888,15.914,0.0188,377
218,0.4744,-4.158,0.4505,14.898,0.005,265
219,0.4678,-4.5137,0.5205,17.93,0.0111,365
220,0.471,-4.4961,0.4787,15.969,0.0114,286
221,0.4866,-4.4415,0.4619,16.07,0.0202,304
222,0.4808,-3.2088,0.3412,13.969,0.0071,244
223,0.4849,-3.9556,0.4557,14.438,0.0154,396
224,0.4968,-5.1607,0.5764,22.016,0.0165,457
225,0.4935,-5.0148,0.5127,18.531,0.0128,315
226,0.4791,-3.5187,0.3995,16.172,0.0081,256
227,0.4897,-3.4635,0.3672,14.914,0.0049,281
228,0.4575,-3.8971,0.4287,15.445,0.0033,254
229,0.4995,-4.4619,0.4591,16.5,0.0126,248
230,0.4855,-5.5759,0.6094,18.789,0.0098,290
231,0.4402,-3.7722,0.3967,14.273,0.0072,325
232,0.4788,-4.405,0.4658,15.656,0.0096,361
233,0.5021,-5.3544,0.5533,17.711,0.0066,557
234,0.4907,-4.2293,0.4452,15.328,0.02,301
235,0.4801,-5.467,0.5899,19.258,0.0125,237
236,0.4508,-3.6174,0.3745,12.523,0.0078,267
237,0.4855,-4.7856,0.5113,16.758,0.0139,265
238,0.4727,-5.4134,0.5951,18.898,0.0029,252
239,0.4902,-4.4639,0.4698,15.031,0.0045,222
240,0.483,-3.9254,0.4424,13.969,0.005,333
241,0.4852,-3.9703,0.4239,14.352,0.0065,272
242,0.5011,-5.4007,0.5664,17.555,0.0093,361
243,0.4897,-5.7002,0.5934,17.164,0.0127,331
244,0.5045,-5.3752,0.5661,17.805,0.0069,295
245,0.4964,-4.6899,0.4949,15.727,0.0126,303
246,0.4711,-4.6317,0.5071,16.672,0.0048,386
247,0.4814,-5.4141,0.5673,16.656,0.0101,284
248,0.5223,-5.3185,0.5473,16.859,0.0162,362
249,0.4827,-3.8514,0.4164,14.25,0.0047,260
250,0.4822,-4.4096,0.4589,16.008,0.0251,333
251,0.5008,-6.0012,0.6344,20.039,0.0254,290
252,0.4927,-4.7503,0.4958,16.008,0.0059,300
253,0.4996,-5.0501,0.5486,19.672,0.0505,247
254,0.4871,-5.1268,0.5015,18.547,0.05,240
255,0.4821,-4.6375,0.4629,18.25,0.0094,340
