step,reward,loss,rev_kl,grad_norm,off_pol,tps
1,0.0218,0.0101,,3.231,0.7514,454
2,0.5095,0.0007,,4.578,0.0171,242
3,0.6626,-0.0003,,3.482,0.0142,291
4,0.8916,0.0001,,3.662,0.0165,256
5,0.8632,-0.0001,,3.287,0.0143,253
6,0.7779,0.0001,,2.105,0.0068,307
7,0.782,0.0004,,2.258,0.0071,309
8,0.9526,-0.0004,,2.043,0.008,372
9,1.0299,0.0007,,2.432,0.0158,338
10,0.9431,-0.0003,,2.411,0.0256,537
11,0.97,0.0009,,1.724,0.0388,550
12,0.9795,0.0,,1.186,0.0021,398
13,1.1133,0.0007,,2.424,0.0106,543
14,0.8383,-0.0006,,1.344,0.0293,428
15,0.7555,0.0004,,2.637,0.0224,560
16,0.8658,-0.0005,,2.23,0.0176,590
17,0.9586,0.0005,,2.629,0.0062,592
18,0.8658,-0.0001,,1.152,0.0075,566
19,1.1887,-0.0001,,1.505,0.0318,588
20,1.005,0.0003,,2.377,0.0191,588
21,0.8134,-0.0002,,2.02,0.019,440
22,1.0669,0.0006,,2.547,0.0053,533
23,1.268,-0.0004,,1.848,0.038,638
24,1.262,0.0003,,1.578,0.0108,362
25,0.8812,-0.0,,1.058,0.02,629
26,0.8812,0.0006,,1.399,0.0067,631
27,1.2061,-0.0,,1.752,0.0077,592
28,0.8967,0.0009,,0.693,0.0189,561
29,0.8194,-0.0001,,0.726,0.0124,591
30,0.8422,-0.0001,,3.167,0.0094,420
31,0.9277,-0.0002,,2.06,0.0063,580
32,0.8787,0.0,,2.145,0.0088,589
33,0.7085,-0.0006,,2.289,0.0294,405
34,0.8434,-0.001,,2.994,1.2886,543
35,0.8907,0.0003,,0.932,0.0292,634
36,0.8919,0.0008,,3.566,0.0354,523
37,0.9255,0.0006,,2.051,0.0057,558
38,1.0205,0.0007,,1.733,0.0134,592
39,1.1087,0.0005,,1.442,0.0087,646
40,1.1133,-0.0002,,1.367,0.0409,648
41,1.0823,0.0003,,2.032,0.0526,612
42,0.5598,0.0007,,2.268,0.0136,406
43,0.8348,0.0006,,1.64,0.0085,587
44,1.0677,0.0,,2.651,0.0121,530
45,0.9291,0.0016,,3.896,0.037,573
46,0.962,0.0011,,4.255,0.1042,552
47,0.7962,0.001,,3.552,0.0121,598
48,0.9586,0.0005,,2.468,0.0327,635
49,0.8048,0.0,,2.757,0.015,569
50,0.9749,0.0,,1.91,0.0059,601
51,1.1112,0.0005,,2.877,0.0558,572
52,1.1133,0.0006,,1.56,0.0149,501
53,0.9835,-0.0009,,3.291,0.0777,574
54,0.7145,0.0003,,2.552,0.0267,563
55,0.967,0.0007,,2.646,0.0119,597
56,0.9586,-0.0004,,2.088,0.0622,607
57,0.907,0.0,,2.147,0.0125,575
58,0.8387,0.0004,,3.114,0.0028,578
59,1.0763,-0.0003,,1.752,0.0039,532
60,0.8288,0.0001,,1.195,0.0245,599
61,0.9586,-0.0005,,1.139,0.0048,557
62,0.7266,0.0001,,0.897,0.0063,542
63,1.2061,-0.0001,,2.082,0.0078,473
64,0.8976,0.0004,,1.822,0.0103,604
65,1.1846,0.0004,,1.703,0.0076,617
66,1.3144,-0.0001,,1.732,0.0325,646
67,1.0703,0.0001,,2.606,0.0077,606
68,0.8761,0.0004,,2.098,0.0023,560
69,0.8658,-0.0,,0.602,0.0012,529
70,1.0205,0.0002,,0.897,0.0022,610
71,0.9122,-0.0002,,2.031,0.1895,598
72,1.2465,0.0,,0.883,0.0013,562
73,1.0978,0.0003,,1.347,0.0039,605
74,1.0299,-0.0002,,1.181,0.0194,616
75,0.8967,0.0002,,1.048,0.0098,615
76,0.9586,0.0008,,1.153,0.0418,607
77,1.0548,0.0001,,1.895,0.0029,591
78,0.9216,0.0002,,1.439,0.0106,568
79,1.0514,0.0002,,0.481,0.0121,627
80,0.8348,0.0018,,1.877,0.0044,494
81,1.0823,0.0002,,1.414,0.0267,594
82,0.8194,-0.0001,,1.847,0.0152,601
83,0.8813,0.0005,,1.836,0.0245,516
84,0.9586,-0.0001,,0.716,0.0272,560
85,0.968,-0.0002,,1.451,0.002,510
86,0.9741,0.0006,,1.816,0.0086,578
87,0.8512,0.0004,,1.715,0.0155,543
88,1.0978,0.0003,,1.865,0.0328,566
89,1.2061,-0.0001,,1.125,0.0299,620
90,1.2929,0.0004,,1.548,0.0064,582
91,1.2155,0.001,,2.553,0.0155,625
92,1.3608,-0.0,,0.646,0.0028,671
